A2,a,b,Et,Ep,Ei0,Eip1,Eit1,Eip2,Eit3,E
16,8.2,5.8,-6.187870462425053,-6.030721250688657,-1.3783332450548187,-0.24970003415364772,-0.0785297387628816,-0.14349773176945746,-2.0845499418792315,-49.00830509560183
16,8.2,6.0,-6.578531205479521,-5.784678344614804,-1.3773718997836113,-0.22786017612088472,-0.07920305716106668,-0.1344866881845519,-2.101056592538953,-50.08395763812587
16,8.2,6.2,-6.83038297155872,-5.182689176406711,-1.480043830932118,-0.19462097145151347,-0.07657190778991207,-0.12436683446867391,-2.130299813405145,-50.11246039753314
16,8.2,6.4,-6.966848826268688,-4.491410354967229,-1.56464347417932,-0.16474647540599108,-0.07391252042725682,-0.11512800480704755,-2.1342882669414394,-49.37205507326871
16,8.4,5.8,-6.583086300641298,-6.030721250688657,-1.3797714980319142,-0.2541264897445217,-0.07548819796647877,-0.14529743045568466,-2.0775004944880493,-50.56413331022486
16,8.4,6.0,-6.814568464586046,-5.784678344614804,-1.464019735576585,-0.21345380158163607,-0.07223957875976339,-0.13235440920107067,-2.107119594118558,-51.16472313180566
16,8.4,6.2,-6.93856695049908,-5.182689176406711,-1.4819891118677333,-0.1973443649476394,-0.07347640104126185,-0.12558608641847968,-2.1293008176144212,-50.54059415590018
16,8.4,6.4,-6.972241019655485,-4.491410354967229,-1.5698492970550433,-0.1664495375007391,-0.07079065818106756,-0.11593498254660517,-2.1416753148077987,-49.42611631471664
16,8.6,6.2,-6.857704756956082,-5.182689176406711,-1.4825664212694392,-0.19938251725398004,-0.07036959886318073,-0.12649723084177822,-2.123136159265414,-50.18711275188252
16,8.6,6.4,-6.817291230312549,-4.491410354967229,-1.5761783629423007,-0.16886545112356544,-0.06795494037214667,-0.11707830580417067,-2.143291153071914,-48.82121424470097
16,8.8,6.2,-6.650384238047991,-5.182689176406711,-1.5495593888917938,-0.18596635351423174,-0.06413403211627156,-0.1242055642651394,-2.1262523739715107,-49.447923542698845
16,8.8,6.4,-6.558880729833618,-4.491410354967229,-1.582616615574807,-0.17205822200048715,-0.06539344455813989,-0.11856801446992904,-2.141738065693062,-47.79335537436418
