R3t,R3p,Et1,Ep,Et2,E
-3.8,-2.4,-7.393845535989385,-7.1506032071774825,-8.888738135923631,-46.866373758181
-3.8,-2.3,-7.393845535989385,-7.227822077577002,-8.949147896026261,-47.1416310191853
-3.8,-2.2,-7.393845535989385,-7.30904697207734,-9.042935540725011,-47.49165609758347
-3.8,-2.1,-7.393845535989385,-7.3923614748055115,-9.161971050139982,-47.89635612186976
-3.8,-2.0,-7.393845535989385,-7.475655897054821,-9.296540569746867,-48.332084005582146
-3.8,-1.9,-7.393845535989385,-7.556791685055941,-9.434977433353197,-48.77122930879705
-3.8,-1.8,-7.393845535989385,-7.6337231560610235,-9.565122379688546,-49.18538214347791
-3.8,-1.7,-7.393845535989385,-7.704674456850626,-9.675114842597395,-49.54726967087481
-3.8,-1.6,-7.393845535989385,-7.76822239428293,-9.753757533442695,-49.83165092743002
-3.8,-1.5,-7.393845535989385,-7.8232550212414935,-9.791780246887356,-50.01776160823647
-3.8,-1.4,-7.393845535989385,-7.869113452150486,-9.782580950122792,-50.09107987652533
-3.8,-1.3,-7.393845535989385,-7.905485186725855,-9.723045311577152,-50.044752068584785
-3.8,-1.2,-7.393845535989385,-7.932208327576518,-9.61368349607801,-49.87947471928783
-3.8,-1.1,-7.393845535989385,-7.9492590294685215,-9.458724294381682,-49.60365771967918
-3.8,-1.0,-7.393845535989385,-7.956899591139518,-9.265546595677733,-49.23258344561327
-3.8,-0.9,-7.393845535989385,-7.955529109342024,-9.043947714264505,-48.78664471919183
-3.8,-0.8,-7.393845535989385,-7.945957071729936,-8.805114898306783,-48.28983501205221
-3.8,-0.7,-7.393845535989385,-7.92953764507547,-8.560224100772757,-47.767214563675225
-3.8,-0.6,-7.393845535989385,-7.908075548009947,-8.320024568005465,-47.243891304009594
-3.8,-0.5,-7.393845535989385,-7.883730670204386,-8.094191876531113,-46.74353616544977
-3.8,-0.4,-7.393845535989385,-7.858969125547446,-7.890732426720206,-46.287094176514074
-3.8,-0.3,-7.393845535989385,-7.8362538911169395,-7.715913788357284,-45.89202643092722
-3.8,-0.2,-7.393845535989385,-7.817929971613921,-7.573694294434972,-45.57093960407656
-3.8,-0.1,-7.393845535989385,-7.806068777455948,-7.466186771169305,-45.33220216922928
-3.8,0.0,-7.393845535989385,-7.80199372745119,-7.393845535989385,-45.17936959885992
