R3t,R3p,Et1,Ep,Et2,E
-2.4,1.0,-7.018780298822094,-5.825465239584446,-5.4990188498049974,-36.686528776423074
-2.4,1.1,-7.018780298822094,-5.815854296437465,-5.348253924865276,-36.36577704024967
-2.4,1.2,-7.018780298822094,-5.798172319773585,-5.218253933067899,-36.070413103327155
-2.4,1.3,-7.018780298822094,-5.772221016115509,-5.110801630769856,-35.80360589141492
-2.4,1.4,-7.018780298822094,-5.738014191039838,-5.0263067817431875,-35.56620254321024
-2.4,1.5,-7.018780298822094,-5.695688641513698,-4.963632965402212,-35.35620381147601
-2.4,1.6,-7.018780298822094,-5.645495371660218,-4.92056444415357,-35.16968022927176
-2.3,-4.0,-7.038030423107557,-4.09831550065428,-6.656027435499709,-35.58474671852309
-2.3,-3.9,-7.038030423107557,-4.173796168528497,-6.5819881580537185,-35.587629499379545
-2.3,-3.8,-7.038030423107557,-4.245577037567273,-6.525987283093855,-35.61918948753737
-2.3,-3.7,-7.038030423107557,-4.313633007113822,-6.493848103447817,-35.69102306733839
-2.3,-3.6,-7.038030423107557,-4.378016788046807,-6.490104378841352,-35.81230317999143
-2.3,-3.5,-7.038030423107557,-4.438994444906712,-6.517147549835499,-35.988344835699536
-2.3,-3.4,-7.038030423107557,-4.4969713487662375,-6.575676034961361,-36.22135561367031
-2.3,-3.3,-7.038030423107557,-4.552446997840889,-6.6648031628574245,-36.51056116761174
-2.3,-3.2,-7.038030423107557,-4.60603384161368,-6.78122634824831,-36.850581225939095
-2.3,-3.1,-7.038030423107557,-4.658547643688507,-6.9202612287481315,-37.23367859108839
-2.3,-3.0,-7.038030423107557,-4.710905823041685,-7.07548147480702,-37.648835441912524
-2.3,-2.9,-7.038030423107557,-4.764180166996084,-7.238433271704707,-38.0812877236167
-2.3,-2.8,-7.038030423107557,-4.8195629444671795,-7.400072317570448,-38.51533137029037
-2.3,-2.7,-7.038030423107557,-4.87809582229238,-7.5506113391020335,-38.93347516900394
-2.3,-2.6,-7.038030423107557,-4.940506711951457,-7.680418057716452,-39.31791038555093
-2.3,-2.5,-7.038030423107557,-5.007116898428649,-7.780227288254537,-39.650749219581485
-2.3,-2.4,-7.038030423107557,-5.077765739290044,-7.843527359422296,-39.918647043639794
-2.3,-2.3,-7.038030423107557,-5.151764228474349,-7.864737197465729,-40.10906369809527
-2.3,-2.2,-7.038030423107557,-5.227970297797583,-7.843527359422296,-40.21905616065487
-2.3,-2.1,-7.038030423107557,-5.304906788864173,-7.780227288254537,-40.24632900045253
-2.3,-2.0,-7.038030423107557,-5.380939665599726,-7.680418057716452,-40.19877629284747
-2.3,-1.9,-7.038030423107557,-5.454466267488897,-7.5506113391020335,-40.086216059396975
-2.3,-1.8,-7.038030423107557,-5.523914054152556,-7.400072317570448,-39.92403358966112
-2.3,-1.7,-7.038030423107557,-5.587948939646594,-7.238433271704707,-39.72882526891772
-2.3,-1.6,-7.038030423107557,-5.645495371660218,-7.07548147480702,-39.51801453914959
-2.3,-1.5,-7.038030423107557,-5.695688641513698,-6.9202612287481315,-39.30796058673877
-2.3,-1.4,-7.038030423107557,-5.738014191039838,-6.78122634824831,-39.11454192479141
-2.3,-1.3,-7.038030423107557,-5.772221016115509,-6.6648031628574245,-38.95010920416098
-2.3,-1.2,-7.038030423107557,-5.798172319773585,-6.575676034961361,-38.823757555685006
-2.3,-1.1,-7.038030423107557,-5.815854296437465,-6.517147549835499,-38.74206453876104
-2.3,-1.0,-7.038030423107557,-5.825465239584446,-6.490104378841352,-38.70720008306671
-2.3,-0.9,-7.038030423107557,-5.827342749456875,-6.493848103447817,-38.7184425520245
-2.3,-0.8,-7.038030423107557,-5.822200932656415,-6.525987283093855,-38.77243727771565
-2.3,-0.7,-7.038030423107557,-5.811186877079308,-6.5819881580537185,-38.86241091648117
-2.3,-0.6,-7.038030423107557,-5.79578903678339,-6.656027435499709,-38.97969379078131
-2.3,-0.5,-7.038030423107557,-5.7777895397739485,-6.741039980261121,-39.11371988628525
-2.3,-0.4,-7.038030423107557,-5.759193908423185,-6.828951621195301,-39.25235190545209
-2.3,-0.3,-7.038030423107557,-5.741985074360855,-6.911036831792444,-39.38210465852171
-2.3,-0.2,-7.038030423107557,-5.72803929192014,-6.978361752058845,-39.488862934173085
-2.3,-0.1,-7.038030423107557,-5.7189818125916645,-7.022945710050408,-39.55991589149926
-2.3,0.0,-7.038030423107557,-5.715861832839437,-7.038030423107557,-39.5838453581091
-2.3,0.1,-7.038030423107557,-5.7189818125916645,-7.018780298822094,-39.55158506904263
-2.3,0.2,-7.038030423107557,-5.72803929192014,-6.963055528292898,-39.45825048664119
-2.3,0.3,-7.038030423107557,-5.741985074360855,-6.8713411767967045,-39.30271334853023
-2.3,0.4,-7.038030423107557,-5.759193908423185,-6.746668117353693,-39.08778489776887
-2.3,0.5,-7.038030423107557,-5.7777895397739485,-6.594268528686371,-38.82017698313575
-2.3,0.6,-7.038030423107557,-5.79578903678339,-6.420875593146775,-38.50939010607544
-2.3,0.7,-7.038030423107557,-5.811186877079308,-6.2339196563116275,-38.166273912996985
-2.3,0.8,-7.038030423107557,-5.822200932656415,-6.041270321176853,-37.80300335388165
-2.3,0.9,-7.038030423107557,-5.827342749456875,-5.85038177925162,-37.431509903632104
-2.3,1.0,-7.038030423107557,-5.825465239584446,-5.667780761723407,-37.06255284883082
-2.3,1.1,-7.038030423107557,-5.815854296437465,-5.4990188498049974,-36.70580713870004
-2.3,1.2,-7.038030423107557,-5.798172319773585,-5.348253924865276,-36.368913335492834
-2.3,1.3,-7.038030423107557,-5.772221016115509,-5.218253933067899,-36.05701074458193
-2.3,1.4,-7.038030423107557,-5.738014191039838,-5.110801630769856,-35.7736924898345
-2.3,1.5,-7.038030423107557,-5.695688641513698,-5.0263067817431875,-35.520051692728885
-2.3,1.6,-7.038030423107557,-5.645495371660218,-4.963632965402212,-35.29431752033997
-2.3,1.7,-7.038030423107557,-5.587948939646594,-4.92056444415357,-35.09308761381544
-2.2,-4.0,-7.022945710050408,-4.09831550065428,-6.741039980261121,-35.72460238193162
-2.2,-3.9,-7.022945710050408,-4.173796168528497,-6.656027435499709,-35.70553862815723
-2.2,-3.8,-7.022945710050408,-4.245577037567273,-6.5819881580537185,-35.7010218113428
-2.2,-3.7,-7.022945710050408,-4.313633007113822,-6.525987283093855,-35.72513200051617
-2.2,-3.6,-7.022945710050408,-4.378016788046807,-6.493848103447817,-35.789621203090064
-2.2,-3.5,-7.022945710050408,-4.438994444906712,-6.490104378841352,-35.90408906759694
-2.2,-3.4,-7.022945710050408,-4.4969713487662375,-6.517147549835499,-36.07412921730429
-2.2,-3.3,-7.022945710050408,-4.552446997840889,-6.575676034961361,-36.302137485705316
-2.2,-3.2,-7.022945710050408,-4.60603384161368,-6.6648031628574245,-36.587565429043025
-2.2,-3.1,-7.022945710050408,-4.658547643688507,-6.78122634824831,-36.92543940397445
-2.2,-3.0,-7.022945710050408,-4.710905823041685,-6.9202612287481315,-37.30822552368045
-2.2,-2.9,-7.022945710050408,-4.764180166996084,-7.07548147480702,-37.725214703707024
-2.2,-2.8,-7.022945710050408,-4.8195629444671795,-7.238433271704707,-38.16188385244459
-2.2,-2.7,-7.022945710050408,-4.87809582229238,-7.400072317570448,-38.60222769982647
-2.2,-2.6,-7.022945710050408,-4.940506711951457,-7.5506113391020335,-39.0281275222078
-2.2,-2.5,-7.022945710050408,-5.007116898428649,-7.680418057716452,-39.420961332391016
-2.2,-2.4,-7.022945710050408,-5.077765739290044,-7.780227288254537,-39.761877475189976
-2.2,-2.3,-7.022945710050408,-5.151764228474349,-7.843527359422296,-40.036474595894106
-2.2,-2.2,-7.022945710050408,-5.227970297797583,-7.864737197465729,-40.23130641062744
-2.2,-2.1,-7.022945710050408,-5.304906788864173,-7.843527359422296,-40.342759716673754
-2.2,-2.0,-7.022945710050408,-5.380939665599726,-7.780227288254537,-40.36822532780934
-2.2,-1.9,-7.022945710050408,-5.454466267488897,-7.680418057716452,-40.31566007051151
-2.2,-1.8,-7.022945710050408,-5.523914054152556,-7.5506113391020335,-40.194942206609994
-2.2,-1.7,-7.022945710050408,-5.587948939646594,-7.400072317570448,-40.0219339345349
-2.2,-1.6,-7.022945710050408,-5.645495371660218,-7.238433271704707,-39.813748706830665
-2.2,-1.5,-7.022945710050408,-5.695688641513698,-7.07548147480702,-39.58823165274225
-2.2,-1.4,-7.022945710050408,-5.738014191039838,-6.9202612287481315,-39.362442259676754
-2.2,-1.3,-7.022945710050408,-5.772221016115509,-6.78122634824831,-39.152786148828454
-2.2,-1.2,-7.022945710050408,-5.798172319773585,-6.6648031628574245,-38.971842385362834
-2.2,-1.1,-7.022945710050408,-5.815854296437465,-6.575676034961361,-38.82895208289847
-2.2,-1.0,-7.022945710050408,-5.825465239584446,-6.517147549835499,-38.731116998940706
-2.2,-0.9,-7.022945710050408,-5.827342749456875,-6.490104378841352,-38.68078567669727
-2.2,-0.8,-7.022945710050408,-5.822200932656415,-6.493848103447817,-38.67798949230928
-2.2,-0.7,-7.022945710050408,-5.811186877079308,-6.525987283093855,-38.72023974044714
-2.2,-0.6,-7.022945710050408,-5.79578903678339,-6.5819881580537185,-38.80144580977503
-2.2,-0.5,-7.022945710050408,-5.7777895397739485,-6.656027435499709,-38.91352537064813
-2.2,-0.4,-7.022945710050408,-5.759193908423185,-6.741039980261121,-39.04635919746943
-2.2,-0.3,-7.022945710050408,-5.741985074360855,-6.828951621195301,-39.18776481121313
-2.2,-0.2,-7.022945710050408,-5.72803929192014,-6.911036831792444,-39.324043667525984
-2.2,-0.1,-7.022945710050408,-5.7189818125916645,-6.978361752058845,-39.440578549401835
-2.2,0.0,-7.022945710050408,-5.715861832839437,-7.022945710050408,-39.523506505880505
-2.2,0.1,-7.022945710050408,-5.7189818125916645,-7.038030423107557,-39.55991589149926
-2.2,0.2,-7.022945710050408,-5.72803929192014,-7.018780298822094,-39.539530601585284
-2.2,0.3,-7.022945710050408,-5.741985074360855,-6.963055528292898,-39.45597262540832
-2.2,0.4,-7.022945710050408,-5.759193908423185,-6.8713411767967045,-39.306961590540595
-2.2,0.5,-7.022945710050408,-5.7777895397739485,-6.746668117353693,-39.0948067343561
-2.2,0.6,-7.022945710050408,-5.79578903678339,-6.594268528686371,-38.82600655104034
-2.2,0.7,-7.022945710050408,-5.811186877079308,-6.420875593146775,-38.51001636055298
-2.2,0.8,-7.022945710050408,-5.822200932656415,-6.2339196563116275,-38.1581325980369
-2.2,0.9,-7.022945710050408,-5.827342749456875,-6.041270321176853,-37.78311756136827
-2.2,1.0,-7.022945710050408,-5.825465239584446,-5.85038177925162,-37.39758545777295
-2.2,1.1,-7.022945710050408,-5.815854296437465,-5.667780761723407,-37.01316153642256
-2.2,1.2,-7.022945710050408,-5.798172319773585,-5.4990188498049974,-36.64027375925798
-2.2,1.3,-7.022945710050408,-5.772221016115509,-5.348253924865276,-36.286841302062385
-2.2,1.4,-7.022945710050408,-5.738014191039838,-5.218253933067899,-35.95842766831629
-2.2,1.5,-7.022945710050408,-5.695688641513698,-5.110801630769856,-35.658871964667924
-2.2,1.6,-7.022945710050408,-5.645495371660218,-5.0263067817431875,-35.389495726907626
-2.2,1.7,-7.022945710050408,-5.587948939646594,-4.963632965402212,-35.14905523019843
-2.2,1.8,-7.022945710050408,-5.523914054152556,-4.92056444415357,-34.934848416713066
-2.1,-4.0,-6.978361752058845,-4.09831550065428,-6.828951621195301,-35.81125774781685
-2.1,-3.9,-6.978361752058845,-4.173796168528497,-6.741039980261121,-35.786395801696926
-2.1,-3.8,-6.978361752058845,-4.245577037567273,-6.656027435499709,-35.759932450251654
-2.1,-3.7,-6.978361752058845,-4.313633007113822,-6.5819881580537185,-35.74796583445277
-2.1,-3.6,-6.978361752058845,-4.378016788046807,-6.525987283093855,-35.764731646399014
