,R1,R2,heri,R3t,R3p,Rai0,Rbi0,R3i0,E,i0,ip1,it1,it2,ip2,it3,it4
42,4.6,1.0,53.0,0.0,0.0,2.0,0.2,10.8,-4.196137407212518,-1.6475714306579903,-0.13495983078610152,-1.0131889411713928,-0.9052672613761388,-0.18126379360910505,-0.15119414194487035,-0.16269200766691938
43,4.6,1.0,53.0,0.0,0.0,2.0,0.2,11.0,-3.688889698823914,-1.4348179302178323,-0.114282121299766,-0.9078105594380759,-0.7796849400619976,-0.16429843322839588,-0.1387819941737689,-0.14921372040407732
44,4.6,1.0,53.0,0.0,0.0,2.0,0.2,11.2,-3.1441532874596305,-1.207124671782367,-0.09677459218073636,-0.7752384040504694,-0.6525696118478663,-0.14867468911688775,-0.1271768241422251,-0.13659449433907866
45,4.6,1.0,53.0,0.0,0.0,2.0,0.4,10.4,-4.604316346929409,-1.8228989797644317,-0.22201680298894644,-0.9255885452148505,-1.0649258857010864,-0.19843623228371143,-0.17129516979912296,-0.19915473117725924
46,4.6,1.0,53.0,0.0,0.0,2.0,0.4,10.6,-4.545646672137082,-1.8008219229523093,-0.18681474716868252,-1.073368405282963,-0.9625432365573943,-0.18106173537671566,-0.15784637542674318,-0.18319024937227368
47,4.6,1.0,53.0,0.0,0.0,2.0,0.4,10.8,-4.17634072189685,-1.6384612404508516,-0.1571172089315951,-1.0627609760849737,-0.8397269795532338,-0.1648882927838713,-0.14521773671731353,-0.16816828737501055
48,4.6,1.0,53.0,0.0,0.0,2.0,0.4,11.0,-3.6695278776460327,-1.419516726396978,-0.13192142732441425,-0.9688798325951211,-0.711831028747838,-0.1498594282893464,-0.13336909282952547,-0.1541503414628096
49,4.6,1.0,53.0,0.0,0.0,2.0,0.4,11.2,-3.1289280127966776,-1.1914959077257663,-0.1104179146932438,-0.8356839324696921,-0.592029329680372,-0.13595129642635584,-0.12230483663734049,-0.1410447951639071
50,4.6,1.0,53.0,0.0,0.0,2.2,-0.2,10.4,-4.05250664340565,-1.9011344166938215,-0.12519326503388584,-0.8719734632177278,-0.5644897982710972,-0.2562035477021709,-0.17261921585304663,-0.1608929366338998
51,4.6,1.0,53.0,0.0,0.0,2.2,-0.2,10.6,-4.222658489772584,-1.8131662996020168,-0.10800200107041746,-0.9131676122779027,-0.8472991425660439,-0.23283131036441773,-0.1594640962430276,-0.14872802764875814
52,4.6,1.0,53.0,0.0,0.0,2.2,-0.2,10.8,-3.988996356201824,-1.607962999609299,-0.09291917074006051,-0.8715963297290727,-0.9212555885897018,-0.21095631178468466,-0.1470550859812647,-0.13725086976774037
53,4.6,1.0,53.0,0.0,0.0,2.2,-0.2,11.0,-3.5739875975996256,-1.3749446910806,-0.08005145087372512,-0.7826160392723978,-0.8838290096027777,-0.19074923475272954,-0.13535327947465703,-0.12644389254273847
54,4.6,1.0,53.0,0.0,0.0,2.2,-0.2,11.2,-3.0869996765977703,-1.1498832096112892,-0.06884663214441389,-0.6691559560713358,-0.7862675198120996,-0.1721761937951669,-0.12436495185829699,-0.11630521330516785
55,4.6,1.0,53.0,0.0,0.0,2.2,-0.4,10.4,-3.826512054016348,-1.775924836168997,-0.10818774404469877,-0.9488798337988555,-0.3776512058102526,-0.2829066083068028,-0.17815510899526998,-0.1548067168914713
56,4.6,1.0,53.0,0.0,0.0,2.2,-0.4,10.6,-4.141316250723321,-1.7666514932643622,-0.09393824683502316,-0.9125852828728966,-0.8040354655240662,-0.25642443157266825,-0.16452935681445524,-0.14315197383984923
57,4.6,1.0,53.0,0.0,0.0,2.2,-0.4,10.8,-3.9640678938594647,-1.5900162134785205,-0.08149095869157463,-0.8315718594822101,-0.945246550894808,-0.23189381044358015,-0.151685482240282,-0.13216301862848923
